id,name,publisher,date,photo_url
30,Tales from the Yawning Portal (TftYP),Wizards of the Coast,April 2017,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-tales-from-the-yawning-portal.webp?resize=782%2C1024&amp;ssl=1
31,Tomb of Annihilation (ToA),Wizards of the Coast,September 2017,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-tomb-of-annihilation.jpeg?resize=783%2C1024&amp;ssl=1
32,Waterdeep: Dragon Heist (WDH),Wizards of the Coast,September 2018,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-waterdeep-dragon-heist-1.jpeg?resize=788%2C1024&amp;ssl=1
33,Waterdeep: Dungeon of the Mad Mage (WDotMM),Wizards of the Coast,November 2018,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-waterdeep-dungeon-of-the-mad-mage.jpeg?resize=769%2C1000&amp;ssl=1
34,Stranger Things: The Hunt for Thessalhydra,Wizards of the Coast,April 2019,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-stranger-things.jpeg?resize=414%2C500&amp;ssl=1
35,Ghosts of Saltmarsh (GoS),Wizards of the Coast,May 2019,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-ghosts-of-saltmarsh-1.jpeg?resize=773%2C1000&amp;ssl=1
36,Essentials Kit (EK),Wizards of the Coast,September 2019,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-essentials-kit.jpeg?resize=801%2C1024&amp;ssl=1
37,Baldur’s Gate: Descent into Avernus (BGDiA),Wizards of the Coast,September 2019,"https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-baldurs-gate-descent-into-avernus.png?resize=232%2C300&amp;ssl=1"" decoding=""async"" height=""300"" src=""data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="" width=""232"
38,Dungeons &amp; Dragons vs Rick and Morty (DDvRM),Wizards of the Coast,March 2019,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-rick-and-morty-vs-dnd-1.jpeg?resize=853%2C1024&amp;ssl=1
39,Icewind Dale: Rime of the Frostmaiden (IDRotF),Wizards of the Coast,September 2020,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-icewind-dale-rime-frostmaiden.jpeg?resize=772%2C1000&amp;ssl=1
40,Candlekeep Mysteries (CM),Wizards of the Coast,March 2021,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-candlekeep-mysteries.jpeg?resize=783%2C1000&amp;ssl=1
41,The Wild Beyond The Witchlight (TWBTW),Wizards of the Coast,September 2021,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-wild-beyond-the-witchlight.jpeg?resize=679%2C869&amp;ssl=1
42,Critical Role: Call of the Netherdeep (CRCotN),Wizards of the Coast,March 2022,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-critical-role-call-netherdeep.jpeg?resize=765%2C1000&amp;ssl=1
43,Journeys Through the Radiant Citadel (JTtRC),Wizards of the Coast,July 2022,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-journeys-radiant-citadel.jpeg?resize=783%2C1000&amp;ssl=1
44,Starter Set: Dragons of Stormwreck Isle (DoSI),Wizards of the Coast,October 2022,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-starter-set-dragons-stormwreck-isle.jpeg?resize=887%2C1024&amp;ssl=1
45,Dragonlance: Shadow of the Dragon Queen (DSotDQ),Wizards of the Coast,December 2022,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-dragonlance-shadow-dragon-queen.jpeg?resize=781%2C1000&amp;ssl=1
46,Tyranny of Dragons Re-release (ToD),Wizards of the Coast,January 2023,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-tyranny-of-dragons.jpeg?resize=777%2C1000&amp;ssl=1
47,Keys from the Golden Vault (KftGV),Wizards of the Coast,February 2023,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/04/dnd-5e-books-keys-from-the-golden-vault.webp?resize=780%2C1000&amp;ssl=1
48,Phandelver and Below: The Shattered Obelisk (PaBTSO),Wizards of the Coast,September 2023,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/05/phandelver-campaign-new-cover-art.png?resize=424%2C554&amp;ssl=1
49,New Player’s Handbook,Wizards of the Coast,2024,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/09/new-players-handbook-2024-coming-soon.png?resize=450%2C600&amp;ssl=1
50,New Dungeon Master’s Guide,Wizards of the Coast,2024,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/09/new-dmg-2024-coming-soon.png?resize=768%2C1024&amp;ssl=1
51,New Monster Manual,Wizards of the Coast,2024,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/09/new-2024-monster-manual-coming-soon-1.png?resize=450%2C600&amp;ssl=1
52,New Vecna Adventure,Wizards of the Coast,2024,https://i0.wp.com/dungeonsanddragonsfan.com/wp-content/uploads/2023/10/dnd-5e-books-vecna-adventure-1.png?resize=450%2C600&amp;ssl=1
53,Unearthed Arcana,Wizards of the Coast,Various,https://drive.google.com/file/d/1WOW4986NRpWv7X948COBnQlmfdea9awz/view?usp=sharing
54,Lost Laboratory of Kwalish,Wizards of the Coast,November 2018,https://www.dndbeyond.com/avatars/10434/498/637248091075319276.jpeg
55,Tal'Dorei Campaign Setting Reborn,Darrington Press,Janurary 2022,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShE6xUFPyluaX_Ajhr_sYGWHV21leY2Z9Q6R6A2IqXLWIYRp6l
56,Critical Roll Twitter,Critical Roll,Various,null
